Model,Epochs,Loss,Accuracy,Val_Loss,Val_Accuracy
50ms_MC,1,0.4752368628978729,0.8220325112342834,0.27551233768463135,0.8824448585510254
50ms_MC,2,0.24270614981651306,0.9061072468757629,0.19649508595466614,0.9282861351966858
50ms_MC,3,0.2012624740600586,0.9240201711654663,0.195984348654747,0.9258551597595215
50ms_MC,4,0.18815888464450836,0.9289893507957458,0.19034357368946075,0.927070677280426
50ms_MC,5,0.175826296210289,0.9333974719047546,0.16935037076473236,0.9395728707313538
50ms_MC,6,0.17331235110759735,0.932756245136261,0.18658724427223206,0.9253342747688293
50ms_MC,7,0.16626134514808655,0.9368036985397339,0.16382978856563568,0.9388782978057861
50ms_MC,8,0.16363252699375153,0.9367235898971558,0.18823140859603882,0.9262024760246277
50ms_MC,9,0.16101598739624023,0.9393283724784851,0.17147201299667358,0.9307171106338501
50ms_MC,10,0.15616251528263092,0.9397691488265991,0.16158339381217957,0.9413092732429504
100ms_MC,1,0.4122374951839447,0.8320509791374207,0.2727154791355133,0.891474187374115
100ms_MC,2,0.2545793950557709,0.8928428292274475,0.24369096755981445,0.8984198570251465
100ms_MC,3,0.23382066190242767,0.9000961780548096,0.2411017119884491,0.9008508324623108
100ms_MC,4,0.2304752618074417,0.9026208519935608,0.226894810795784,0.902760922908783
100ms_MC,5,0.21733446419239044,0.9095936417579651,0.21224941313266754,0.9114429354667664
100ms_MC,6,0.20938284695148468,0.9125590920448303,0.21520207822322845,0.9114429354667664
100ms_MC,7,0.20286324620246887,0.917207658290863,0.22318506240844727,0.9152630567550659
100ms_MC,8,0.19688613712787628,0.9203734993934631,0.20279622077941895,0.9263761043548584
100ms_MC,9,0.19284027814865112,0.9233790040016174,0.18472841382026672,0.9272443056106567
100ms_MC,10,0.19171760976314545,0.9226977825164795,0.19094708561897278,0.9199513792991638
500ms_MC,1,0.31352517008781433,0.8851085901260376,0.21291384100914001,0.9225559830665588
500ms_MC,2,0.21963825821876526,0.9192113280296326,0.17710575461387634,0.9392255544662476
500ms_MC,3,0.19313208758831024,0.928107738494873,0.1611095368862152,0.9440875053405762
500ms_MC,4,0.1774386614561081,0.9353209733963013,0.1593596190214157,0.9414829015731812
500ms_MC,5,0.17377358675003052,0.9344393610954285,0.14135673642158508,0.9472130537033081
500ms_MC,6,0.1654340922832489,0.9385268688201904,0.1445343941450119,0.9470394253730774
500ms_MC,7,0.15925374627113342,0.9400497078895569,0.1456385999917984,0.9423511028289795
500ms_MC,8,0.15566740930080414,0.9418529868125916,0.14956313371658325,0.9418301582336426
500ms_MC,9,0.15639370679855347,0.9415324330329895,0.14137695729732513,0.9465184807777405
500ms_MC,10,0.15422162413597107,0.9414122104644775,0.1376943290233612,0.9505122303962708
50ms_B,1,0.3481585383415222,0.8490021824836731,0.2848813235759735,0.8791456818580627
50ms_B,2,0.24035011231899261,0.8927626609802246,0.2817332446575165,0.8609133362770081
50ms_B,3,0.20904436707496643,0.9035024642944336,0.20958609879016876,0.9104011058807373
50ms_B,4,0.1886538416147232,0.9153642654418945,0.19719298183918,0.9138739109039307
50ms_B,5,0.13851933181285858,0.9412518739700317,0.13452711701393127,0.9433929324150085
50ms_B,6,0.12387806922197342,0.9493868947029114,0.1336827576160431,0.9433929324150085
50ms_B,7,0.11576522141695023,0.9542758464813232,0.1196792796254158,0.9539850950241089
50ms_B,8,0.11254536360502243,0.9560391306877136,0.12257404625415802,0.9552005529403687
50ms_B,9,0.10864724218845367,0.958683967590332,0.14290909469127655,0.9470394253730774
50ms_B,10,0.10787062346935272,0.9604873061180115,0.11109890788793564,0.9565896987915039
100ms_B,1,0.29519349336624146,0.853610634803772,0.20278365910053253,0.9098801612854004
100ms_B,2,0.19445599615573883,0.9136010408401489,0.18798822164535522,0.9216877818107605
100ms_B,3,0.18245208263397217,0.9196121096611023,0.1735972762107849,0.9307171106338501
100ms_B,4,0.16578474640846252,0.9291896820068359,0.16157832741737366,0.9322798848152161
100ms_B,5,0.1587606817483902,0.9329566359519958,0.1765463501214981,0.9355791211128235
100ms_B,6,0.1543625295162201,0.9353610873222351,0.14750249683856964,0.9348845481872559
100ms_B,7,0.1466291844844818,0.9374849796295166,0.1434556543827057,0.9374891519546509
100ms_B,8,0.14235365390777588,0.9410915970802307,0.1380906105041504,0.9433929324150085
100ms_B,9,0.13889694213867188,0.9430952668190002,0.13375623524188995,0.9463448524475098
100ms_B,10,0.1340041309595108,0.9453394412994385,0.15415973961353302,0.9293280243873596
500ms_B,1,0.24098560214042664,0.8949266672134399,0.16261377930641174,0.9413092732429504
500ms_B,2,0.16464178264141083,0.9337981939315796,0.14192457497119904,0.9501649737358093
500ms_B,3,0.14230944216251373,0.943816602230072,0.12704810500144958,0.9468657970428467
500ms_B,4,0.13107745349407196,0.9494269490242004,0.11081856489181519,0.9584997296333313
500ms_B,5,0.12548835575580597,0.9530736804008484,0.1286609172821045,0.9532905220985413
500ms_B,6,0.11989941447973251,0.9556784629821777,0.10244674235582352,0.9644035696983337
500ms_B,7,0.11628355830907822,0.9568005204200745,0.1078885868191719,0.9626671075820923
500ms_B,8,0.11721441149711609,0.9568806886672974,0.10671815276145935,0.960236132144928
500ms_B,9,0.11487975716590881,0.9565600752830505,0.10905526578426361,0.9600625038146973
500ms_B,10,0.1143418699502945,0.9568806886672974,0.12157480418682098,0.9515540599822998
