start_time,end_time,label
870.105057,1334.588183,N
1334.588183,1337.667512,S1
1337.667512,1340.74684,S1
1340.74684,1371.150788,N
1371.150788,1374.194722,S1
1374.194722,1420.030708,N
1420.030708,1423.428588,S1
1423.428588,3298.208912,N
3298.208912,3301.783765,S1
3301.783765,3306.526639,N
3306.526639,3309.712151,S1
3309.712151,3310.809383,N
3310.809383,3313.959501,S1
3313.959501,3314.525815,N
3314.525815,3317.534354,S1
3317.534354,3334.275993,N
3334.275993,3337.744662,S1
3337.744662,3341.885828,N
3341.885828,3345.460681,S1
3345.460681,3358.804439,N
3358.804439,3362.13153,S1
3362.13153,3367.299139,N
3367.299139,3370.378468,S1
3370.378468,3399.083476,N
3399.083476,3402.304383,S1
3402.304383,3406.516338,N
3406.516338,3409.560273,S1
3409.560273,3414.01999,N
3414.01999,3417.134714,S1
3417.134714,3417.913394,N
3417.913394,3421.27588,S1
3421.27588,3434.407271,N
3434.407271,3437.698967,S1
3437.698967,3438.902383,N
3438.902383,3442.194079,S1
3442.194079,3442.937365,N
3442.937365,3446.264456,S1
3446.264456,3519.248088,N
3519.248088,3522.787547,S1
3522.787547,3563.066583,N
3563.066583,3566.322885,S1
3566.322885,3569.473003,S1
3569.473003,3574.251272,N
3574.251272,3577.259811,S1
3577.259811,3577.755336,N
3577.755336,3580.870059,S1
3580.870059,3581.153216,N
3581.153216,3584.267939,S1
3584.267939,3625.714997,N
3625.714997,3629.006693,S1
3629.006693,3629.962347,N
3629.962347,3633.183254,S1
3633.183254,3742.092389,N
3742.092389,3745.702637,S1
3745.702637,3749.808408,N
3749.808408,3752.993921,S1
3752.993921,3753.560234,N
3753.560234,3756.745747,S1
3756.745747,3791.609412,N
3791.609412,3795.042687,S1
3795.042687,3796.033735,N
3796.033735,3799.113064,S1
3799.113064,3799.962534,N
3799.962534,3803.218835,S1
3803.218835,3803.997516,N
3803.997516,3807.289213,S1
3807.289213,3808.244866,N
3808.244866,3811.324195,S1
3811.324195,3842.506824,N
3842.506824,3845.302996,S1
3845.302996,3850.399816,N
3850.399816,3853.656118,S1
3853.656118,3855.001112,N
3855.001112,3858.222019,S1
3858.222019,3861.619899,S1
3861.619899,3862.681737,N
3862.681737,3865.902644,S1
3865.902644,3900.376968,N
3900.376968,3903.704059,S1
3903.704059,3904.341162,N
3904.341162,3907.739042,S1
3907.739042,3908.092988,N
3908.092988,3911.243106,S1
3911.243106,3912.871257,N
3912.871257,3916.092164,S1
3916.092164,3916.870845,N
3916.870845,3920.127146,S1
3920.127146,3954.530682,N
3954.530682,3958.247113,S1
3958.247113,4225.794773,N
4225.794773,4229.47581,S1
4229.47581,4232.767506,S1
4232.767506,4237.510381,N
4237.510381,4240.908261,S1
4240.908261,4241.403785,N
4241.403785,4244.943243,S1
4244.943243,4287.77069,N
4287.77069,4291.274754,S1
4291.274754,4295.592893,N
4295.592893,4298.743011,S1
4298.743011,4299.20314,N
4299.20314,4302.247075,S1
4302.247075,4303.025756,N
4303.025756,4306.140479,S1
4306.140479,4307.379289,N
4307.379289,4310.494013,S1
4310.494013,4311.131115,N
4311.131115,4314.352022,S1
4314.352022,4314.918336,N
4314.918336,4318.103848,S1
4318.103848,4319.307264,N
4319.307264,4322.740539,S1
4322.740539,4361.851554,N
4361.851554,4365.21404,S1
4365.21404,4395.122463,N
4395.122463,4398.024819,S1
4398.024819,4410.342134,N
4410.342134,4413.881592,S1
4413.881592,4414.09396,N
4414.09396,4417.456445,S1
4417.456445,4418.022759,N
4418.022759,4421.172877,S1
4421.172877,4437.843726,N
4437.843726,4440.993844,S1
4440.993844,4441.595552,N
4441.595552,4444.674881,S1
4444.674881,4445.913691,N
4445.913691,4449.240782,S1
4449.240782,4449.948674,N
4449.948674,4453.204975,S1
4453.204975,4456.284304,S1
4456.284304,4456.992196,N
4456.992196,4460.248497,S1
4460.248497,4460.956389,N
4460.956389,4464.28348,S1
4464.28348,4464.814399,N
4464.814399,4467.999911,S1
4467.999911,4480.175648,N
4480.175648,4483.502739,S1
4483.502739,4493.165461,N
4493.165461,4496.740314,S1
4496.740314,4497.837546,N
4497.837546,4501.058453,S1
4501.058453,4501.872528,N
4501.872528,4505.199619,S1
4505.199619,4505.836722,N
4505.836722,4509.128418,S1
4509.128418,4510.154861,N
4510.154861,4513.128006,S1
4513.128006,4517.056805,N
4517.056805,4520.313106,S1
4520.313106,4521.445733,N
4521.445733,4524.702035,S1
4524.702035,4525.091375,N
4525.091375,4528.347677,S1
4528.347677,4529.657277,N
4529.657277,4532.913578,S1
4532.913578,4533.940021,N
4533.940021,4537.267112,S1
4537.267112,4546.080364,N
4546.080364,4549.549033,S1
4549.549033,4550.681659,N
4550.681659,4553.867172,S1
4553.867172,4570.679599,N
4570.679599,4573.900507,S1
4573.900507,4582.359812,N
4582.359812,4585.722298,S1
4585.722298,4586.040849,N
4586.040849,4589.190967,S1
4589.190967,4590.040437,N
4590.040437,4593.261344,S1
4593.261344,4594.181603,N
4594.181603,4597.40251,S1
4597.40251,4598.358164,N
4598.358164,4601.862228,S1
4601.862228,4602.463936,N
4602.463936,4605.649448,S1
4605.649448,4622.143324,N
4622.143324,4625.293442,S1
4625.293442,4629.894738,N
4629.894738,4633.221829,S1
4633.221829,4634.212878,N
4634.212878,4637.681547,S1
4637.681547,4639.061936,N
4639.061936,4642.318237,S1
4642.318237,4643.132313,N
4643.132313,4646.35322,S1
4646.35322,4660.864999,N
4660.864999,4664.369063,S1
4664.369063,4667.837732,N
4667.837732,4671.200218,S1
4671.200218,4672.155872,N
4672.155872,4675.270595,S1
4675.270595,4676.049276,N
4676.049276,4679.128605,S1
4679.128605,4680.013469,N
4680.013469,4683.446744,S2
4683.446744,4735.087442,N
4735.087442,4738.060587,S1
4738.060587,4741.17531,S1
4741.17531,4741.883202,N
4741.883202,4745.139504,S1
4745.139504,4745.988974,N
4745.988974,4749.28067,S1
4749.28067,4796.143099,N
4796.143099,4799.222428,S1
4799.222428,4860.77361,N
4860.77361,4864.1007,S1
4864.1007,4876.028675,N
4876.028675,4879.214188,S1
4879.214188,4880.099052,N
4880.099052,4883.24917,S1
4883.24917,4883.957062,N
4883.957062,4887.142575,S1
4887.142575,4888.098228,N
4888.098228,4891.35453,S1
4891.35453,4891.956238,N
4891.956238,4895.177145,S1
4895.177145,4896.026615,N
4896.026615,4899.212128,S1
4899.212128,4899.743046,N
4899.743046,4902.893164,S1
4902.893164,4906.184861,S1
4906.184861,4910.538395,N
4910.538395,4914.007064,S1
4914.007064,4922.147818,N
4922.147818,4925.510304,S1
4925.510304,4926.501352,N
4926.501352,4929.757654,S1
4929.757654,4930.146994,N
4930.146994,4933.43869,S1
4933.43869,4934.111187,N
4934.111187,4937.2967,S1
4937.2967,4938.039986,N
4938.039986,4941.402472,S1
4941.402472,4942.216547,N
4942.216547,4945.614427,S1
4945.614427,4945.897584,N
4945.897584,4949.18928,S1
4949.18928,4949.897172,N
4949.897172,4953.188868,S1
4953.188868,4953.932155,N
4953.932155,4957.188456,S1
4957.188456,4958.037926,N
4958.037926,4961.223439,S1
4961.223439,4962.143698,N
4962.143698,4965.258421,S1
4965.258421,4966.391048,N
4966.391048,4969.753534,S1
4969.753534,4970.88616,N
4970.88616,4974.354829,S1
4974.354829,4975.416667,N
4975.416667,4978.814547,S1
4978.814547,4979.876385,N
4979.876385,4983.23887,S1
4983.23887,4984.336102,N
4984.336102,4987.557009,S1
4987.557009,4988.123323,N
4988.123323,4991.308835,S1
4991.308835,4992.512251,N
4992.512251,4995.874737,S1
4995.874737,4996.688812,N
4996.688812,4999.874324,S1
4999.874324,5000.405243,N
5000.405243,5003.661545,S1
5003.661545,5004.298647,N
5004.298647,5008.369025,S1
5008.369025,5086.378688,N
5086.378688,5089.705779,S1
5089.705779,5090.555249,N
5090.555249,5093.705367,S1
5093.705367,5096.926274,S1
5096.926274,5139.541353,N
5139.541353,5143.116206,S1
5143.116206,5143.61173,N
5143.61173,5146.726453,S1
5146.726453,5148.071448,N
5148.071448,5151.186171,S1
5151.186171,5151.681695,N
5151.681695,5154.902602,S1
5154.902602,5158.158904,S1
5158.158904,5158.760612,N
5158.760612,5161.981519,S1
5161.981519,5227.036764,N
5227.036764,5230.505434,S1
5230.505434,5230.930169,N
5230.930169,5234.221865,S1
5234.221865,5239.177107,N
5239.177107,5242.645776,S1
5242.645776,5260.909381,N
5260.909381,5264.307261,S1
5264.307261,5264.44884,N
5264.44884,5267.811325,S1
5267.811325,5367.517868,N
5367.517868,5370.526408,S1
5370.526408,5398.80668,N
5398.80668,5402.169166,S1
5402.169166,5487.505508,N
5487.505508,5490.797204,S1
5490.797204,5784.536856,N
5784.536856,5787.863947,S1
5787.863947,5788.996574,N
5788.996574,5792.252876,S1
5792.252876,5796.99575,N
5796.99575,5800.322841,S1
5800.322841,5801.030732,N
5801.030732,5804.216245,S1
5804.216245,5809.667011,N
5809.667011,5812.852523,S1
5812.852523,5813.914361,N
5813.914361,5817.135268,S1
5817.135268,5818.444868,N
5818.444868,5821.771959,S1
5821.771959,5822.621429,N
5822.621429,5825.806941,S1
5825.806941,5827.116541,N
5827.116541,5830.231264,S1
5830.231264,5831.186918,N
5831.186918,5834.478614,S1
5834.478614,5844.530676,N
5844.530676,5847.928556,S1
